Index,1,2,3,5,6,7,8,9,9
Image,,,,,,,,,
Name,dummy,AnnualSST-FF-RCP2.6,annualphytoplankton-FF-ECS-RCP2.6,annualDOsurface-FF-ECS-RCP2.6,annualpHsurface-FF-ECS-RCP2.6,AnnualSST-FF-RCP8.5,annualphytoplankton-FF-ECS-RCP8.5,annualDOsurface-FF-ECS-RCP8.5,annualpHsurface-FF-ECS-RCP8.5
2000,1,8,0.969112,1,1,8,1.066023,1.1,1.1
February,1,8.001651528,0.9536679,1,1,8.003303055,1.049035,1.1,1.1
March,1,8.003303055,0.9536679,1,1,8.006606111,1.049035,1.1,1.1
April,1,8.004954583,0.9536679,1,1,8.009909166,1.049035,1.1,1.1
May,1,8.006606111,0.9536679,1,1,8.013212221,1.049035,1.1,1.1
June,1,8.008257638,0.9459459,1,1,8.016515277,1.04054,1.1,1.1
July,1,8.009909166,0.9343629,1,1,8.019818332,1.027799,1.1,1.1
August,1,8.011560694,0.9227799,1,1,8.023121387,1.015058,1.1,1.1
September,1,8.013212221,0.9189189,1,1,8.026424443,1.010811,1.1,1.1
October,1,8.014863749,0.9189189,1,1,8.029727498,1.010811,1.1,1.1
November,1,8.016515277,0.9189189,1,1,8.033030553,1.010811,1.1,1.1
December,1,8.018166804,0.9073359,1,1,8.036333609,0.9980695,1.1,1.1
2001,1,8.019818332,0.8918919,1,1,8.039636664,0.9810811,1.1,1.1
February,1,8.02146986,0.8880309,1,1,8.042939719,0.976834,1.1,1.1
March,1,8.023121387,0.8687259,1,1,8.046242775,0.9555985,1.1,1.1
April,1,8.024772915,0.8571429,1,1,8.04954583,0.9428572,1.1,1.1
May,1,8.026424443,0.8571429,1,1,8.052848885,0.9428572,1.1,1.1
June,1,8.02807597,0.8571429,1,1,8.056151941,0.9428572,1.1,1.1
July,1,8.029727498,0.8455598,1,1,8.059454996,0.9301158,1.1,1.1
August,1,8.031379026,0.8339768,1,1,8.062758051,0.9173745,1.1,1.1
September,1,8.033030553,0.8185328,1,1,8.066061107,0.9003861,1.1,1.1
October,1,8.034682081,0.7992278,1,1,8.069364162,0.8791506,1.1,1.1
November,1,8.036333609,0.7606177,1,1,8.072667217,0.8366795,1.1,1.1
December,1,8.037985136,0.7277992,1,1,8.075970273,0.8005791,1.1,1.1
2002,1,8.039636664,1,1,1,8.079273328,1.1,1.1,1.1
February,1,8.041288192,1,1,1,8.082576383,1.1,1.1,1.1
March,1,8.042939719,1,1,1,8.085879438,1.1,1.1,1.1
April,1,8.044591247,1,1,1,8.089182494,1.1,1.1,1.1
May,1,8.046242775,1,1,1,8.092485549,1.1,1.1,1.1
June,1,8.047894302,1,1,1,8.095788604,1.1,1.1,1.1
July,1,8.04954583,1,1,1,8.09909166,1.1,1.1,1.1
August,1,8.051197358,1,1,1,8.102394715,1.1,1.1,1.1
September,1,8.052848885,1,1,1,8.10569777,1.1,1.1,1.1
October,1,8.054500413,1,1,1,8.109000826,1.1,1.1,1.1
November,1,8.056151941,1,1,1,8.112303881,1.1,1.1,1.1
December,1,8.057803468,1,1,1,8.115606936,1.1,1.1,1.1
2003,1,8.059454996,1,1,1,8.118909992,1.1,1.1,1.1
February,1,8.061106524,1,1,1,8.122213047,1.1,1.1,1.1
March,1,8.062758051,1,1,1,8.125516102,1.1,1.1,1.1
April,1,8.064409579,1,1,1,8.128819158,1.1,1.1,1.1
May,1,8.066061107,1,1,1,8.132122213,1.1,1.1,1.1
June,1,8.067712634,1,1,1,8.135425268,1.1,1.1,1.1
July,1,8.069364162,1,1,1,8.138728324,1.1,1.1,1.1
August,1,8.07101569,1,1,1,8.142031379,1.1,1.1,1.1
September,1,8.072667217,1,1,1,8.145334434,1.1,1.1,1.1
October,1,8.074318745,1,1,1,8.14863749,1.1,1.1,1.1
November,1,8.075970273,1,1,1,8.151940545,1.1,1.1,1.1
December,1,8.0776218,1,1,1,8.1552436,1.1,1.1,1.1
2004,1,8.079273328,1,1,1,8.158546656,1.1,1.1,1.1
February,1,8.080924855,1,1,1,8.161849711,1.1,1.1,1.1
March,1,8.082576383,1,1,1,8.165152766,1.1,1.1,1.1
April,1,8.084227911,1,1,1,8.168455822,1.1,1.1,1.1
May,1,8.085879438,1,1,1,8.171758877,1.1,1.1,1.1
June,1,8.087530966,1,1,1,8.175061932,1.1,1.1,1.1
July,1,8.089182494,1,1,1,8.178364988,1.1,1.1,1.1
August,1,8.090834021,1,1,1,8.181668043,1.1,1.1,1.1
September,1,8.092485549,1,1,1,8.184971098,1.1,1.1,1.1
October,1,8.094137077,1,1,1,8.188274154,1.1,1.1,1.1
November,1,8.095788604,1,1,1,8.191577209,1.1,1.1,1.1
December,1,8.097440132,1,1,1,8.194880264,1.1,1.1,1.1
2005,1,8.09909166,1,1,1,8.19818332,1.1,1.1,1.1
February,1,8.100743187,1,1,1,8.201486375,1.1,1.1,1.1
March,1,8.102394715,1,1,1,8.20478943,1.1,1.1,1.1
April,1,8.104046243,1,1,1,8.208092486,1.1,1.1,1.1
May,1,8.10569777,1,1,1,8.211395541,1.1,1.1,1.1
June,1,8.107349298,1,1,1,8.214698596,1.1,1.1,1.1
July,1,8.109000826,1,1,1,8.218001652,1.1,1.1,1.1
August,1,8.110652353,1,1,1,8.221304707,1.1,1.1,1.1
September,1,8.112303881,1,1,1,8.224607762,1.1,1.1,1.1
October,1,8.113955409,1,1,1,8.227910818,1.1,1.1,1.1
November,1,8.115606936,1,1,1,8.231213873,1.1,1.1,1.1
December,1,8.117258464,1,1,1,8.234516928,1.1,1.1,1.1
2006,1,8.118909992,1,1,1,8.237819983,1.1,1.1,1.1
February,1,8.120561519,1,1,1,8.241123039,1.1,1.1,1.1
March,1,8.122213047,1,1,1,8.244426094,1.1,1.1,1.1
April,1,8.123864575,1,1,1,8.247729149,1.1,1.1,1.1
May,1,8.125516102,1,1,1,8.251032205,1.1,1.1,1.1
June,1,8.12716763,1,1,1,8.25433526,1.1,1.1,1.1
July,1,8.128819158,1,1,1,8.257638315,1.1,1.1,1.1
August,1,8.130470685,1,1,1,8.260941371,1.1,1.1,1.1
September,1,8.132122213,1,1,1,8.264244426,1.1,1.1,1.1
October,1,8.133773741,1,1,1,8.267547481,1.1,1.1,1.1
November,1,8.135425268,1,1,1,8.270850537,1.1,1.1,1.1
December,1,8.137076796,1,1,1,8.274153592,1.1,1.1,1.1
2007,1,8.138728324,1,1,1,8.277456647,1.1,1.1,1.1
February,1,8.140379851,1,1,1,8.280759703,1.1,1.1,1.1
March,1,8.142031379,1,1,1,8.284062758,1.1,1.1,1.1
April,1,8.143682907,1,1,1,8.287365813,1.1,1.1,1.1
May,1,8.145334434,1,1,1,8.290668869,1.1,1.1,1.1
June,1,8.146985962,1,1,1,8.293971924,1.1,1.1,1.1
